Feature,Importance
Glucose,0.2680153600542546
BMI,0.1580513434593738
Age,0.12268117103016024
DiabetesPedigreeFunction,0.11607259600489969
Insulin,0.0914618259181034
Pregnancies,0.08838618309587924
BloodPressure,0.08716980060747616
SkinThickness,0.06816171982985283
